级别,词语,词性,HSK词语级别,官方教材UNIT,级别相关场景
1,你们,PRON,1,HSK1 UNIT1,打招呼
1,你好,PHR,1,HSK1 UNIT1,打招呼
1,您好,PHR,1,HSK1 UNIT1,打招呼
1,对不起,PHR,1,HSK1 UNIT1,打招呼
1,没关系,PHR,1,HSK1 UNIT1,打招呼
2,一,NUM,1,HSK1 UNIT1,打招呼
2,二,NUM,1,HSK1 UNIT1,打招呼
2,三,NUM,1,HSK1 UNIT1,打招呼
2,四,NUM,1,HSK1 UNIT1,打招呼
2,五,NUM,1,HSK1 UNIT1,打招呼
2,六,NUM,1,HSK1 UNIT1,打招呼
2,七,NUM,1,HSK1 UNIT1,打招呼
2,八,NUM,1,HSK1 UNIT1,打招呼
2,九,NUM,1,HSK1 UNIT1,打招呼
2,十,NUM,1,HSK1 UNIT1,打招呼
3,谢谢,PHR,1,HSK1 UNIT2,感谢礼貌用语
3,不客气,PHR,1,HSK1 UNIT2,感谢礼貌用语
3,再见,PHR,1,HSK1 UNIT2,感谢礼貌用语
4,山,N,1,HSK1 UNIT2,感谢礼貌用语
4,小,ADJ,1,HSK1 UNIT2,感谢礼貌用语
4,口,N,1,HSK1 UNIT2,感谢礼貌用语
5,叫,V,1,HSK1 UNIT3,询问名字
5,什么,PRON,1,HSK1 UNIT3,询问名字
5,名字,N,1,HSK1 UNIT3,询问名字
6,我,PRON,1,HSK1 UNIT3,询问名字
6,是,V,1,HSK1 UNIT3,询问名字
6,老师,N,1,HSK1 UNIT3,询问名字
6,吗,AUX,1,HSK1 UNIT3,询问名字
6,学生,N,1,HSK1 UNIT3,询问名字
6,人,N,1,HSK1 UNIT3,询问名字
7,中国,N,1,HSK1 UNIT3,询问名字
7,美,ADJ,1,HSK1 UNIT3,询问名字
7,心情,N,1,HSK1 UNIT3,询问名字
8,她,PRON,1,HSK1 UNIT4,身份国籍介绍
8,谁,PRON,1,HSK1 UNIT4,身份国籍介绍
8,的,AUX,1,HSK1 UNIT4,身份国籍介绍
8,汉语,N,1,HSK1 UNIT4,身份国籍介绍
9,哪,PRON,1,HSK1 UNIT4,身份国籍介绍
9,国,N,1,HSK1 UNIT4,身份国籍介绍
9,呢,AUX,1,HSK1 UNIT4,身份国籍介绍
9,他们,PRON,1,HSK1 UNIT4,身份国籍介绍
9,同学,N,1,HSK1 UNIT4,身份国籍介绍
10,朋友,N,1,HSK1 UNIT4,身份国籍介绍
10,几,PRON,1,HSK1 UNIT4,身份国籍介绍
10,儿子,N,1,HSK1 UNIT4,身份国籍介绍
11,家人,N,1,HSK1 UNIT5,家庭人数及年龄
11,女儿,N,1,HSK1 UNIT5,家庭人数及年龄
11,几个,PRON,1,HSK1 UNIT5,家庭人数及年龄
11,几岁,PHR,1,HSK1 UNIT5,家庭人数及年龄
11,好了,AUX,1,HSK1 UNIT5,家庭人数及年龄
11,口,QTY,1,HSK1 UNIT5,家庭人数及年龄
11,没有,V,1,HSK1 UNIT5,家庭人数及年龄
12,多大,ADV,1,HSK1 UNIT5,家庭人数及年龄
12,山水,N,1,HSK1 UNIT5,家庭人数及年龄
12,女人,N,1,HSK1 UNIT5,家庭人数及年龄
12,大家,ADJ,1,HSK1 UNIT5,家庭人数及年龄
12,好了,N,1,HSK1 UNIT5,家庭人数及年龄
12,今年,N,1,HSK1 UNIT5,家庭人数及年龄
12,明年,N,1,HSK1 UNIT5,家庭人数及年龄
13,不会,PHR,1,HSK1 UNIT6,汉语及中国菜
13,会说,V,1,HSK1 UNIT6,汉语及中国菜
13,妈妈,N,1,HSK1 UNIT6,汉语及中国菜
13,做菜,N,1,HSK1 UNIT6,汉语及中国菜
13,很好,ADV,1,HSK1 UNIT6,汉语及中国菜
13,做饭,V,1,HSK1 UNIT6,汉语及中国菜
13,吃饭,V,1,HSK1 UNIT6,汉语及中国菜
14,写字,V,1,HSK1 UNIT6,汉语及中国菜
14,汉字,N,1,HSK1 UNIT6,汉语及中国菜
14,怎么,PRON,1,HSK1 UNIT6,汉语及中国菜
14,东西,N,1,HSK1 UNIT6,汉语及中国菜
14,读书,V,1,HSK1 UNIT6,汉语及中国菜
15,请问,V,1,HSK1 UNIT7,询问名字
15,今天,N,1,HSK1 UNIT7,询问名字
15,明天,N,1,HSK1 UNIT7,询问名字
15,几号,N,1,HSK1 UNIT7,询问名字
15,九月,N,1,HSK1 UNIT7,询问名字
15,星期,N,1,HSK1 UNIT7,询问名字
16,昨天,N,1,HSK1 UNIT7,询问名字
16,去哪儿,V,1,HSK1 UNIT7,询问名字
16,学校,N,1,HSK1 UNIT7,询问名字
16,看书,V,1,HSK1 UNIT7,询问名字
16,四五,NUM,1,HSK1 UNIT7,询问名字
16,读书,N,1,HSK1 UNIT7,询问名字
17,想吃,V,1,HSK1 UNIT8,喝茶
17,喝茶,V,1,HSK1 UNIT8,喝茶
17,米饭,N,1,HSK1 UNIT8,喝茶
18,下午,N,1,HSK1 UNIT8,喝茶
18,中午,N,1,HSK1 UNIT8,喝茶
18,商店,N,1,HSK1 UNIT8,喝茶
18,买什么,V,1,HSK1 UNIT8,喝茶
18,一个,QTY,1,HSK1 UNIT8,喝茶
18,杯子,N,1,HSK1 UNIT8,喝茶
18,桌子,N,1,HSK1 UNIT8,喝茶
19,这个,PRON,1,HSK1 UNIT8,喝茶
19,多少,PRON,1,HSK1 UNIT8,喝茶
19,多少钱,N,1,HSK1 UNIT8,喝茶
19,几块钱,QTY,1,HSK1 UNIT8,喝茶
19,那个,PRON,1,HSK1 UNIT8,喝茶
20,小猫,N,1,HSK1 UNIT9,方位
20,在那儿,V,1,HSK1 UNIT9,方位
20,小狗,N,1,HSK1 UNIT9,方位
20,椅子,N,1,HSK1 UNIT9,方位
20,下面,PREP,1,HSK1 UNIT9,方位
20,上面,N,1,HSK1 UNIT9,方位
21,在哪儿,PRON,1,HSK1 UNIT10,方位
21,工作,N,1,HSK1 UNIT9,方位
21,医院,N,1,HSK1 UNIT9,方位
22,桌子上,N,1,HSK1 UNIT10,礼貌用语
22,电脑,N,1,HSK1 UNIT10,礼貌用语
22,电脑和书,CONJ,1,HSK1 UNIT10,礼貌用语
22,一本,QTY,1,HSK1 UNIT10,礼貌用语
22,桌子里,N,1,HSK1 UNIT10,礼貌用语
22,桌子,N,1,HSK1 UNIT10,礼貌用语
22,爸爸,N,1,HSK1 UNIT9,方位
23,前面,N,1,HSK1 UNIT10,礼貌用语
23,这儿,ADV,1,HSK1 UNIT10,礼貌用语
23,不能,PHR,1,HSK1 UNIT10,礼貌用语
23,请坐,V,1,HSK1 UNIT10,礼貌用语
23,上下,PREP,1,HSK1 UNIT10,礼貌用语
23,后面,PREP,1,HSK1 UNIT10,礼貌用语
23,没有,ADV,1,HSK1 UNIT10,礼貌用语
24,现在,N,1,HSK1 UNIT11,询问几点
24,五点,QTY,1,HSK1 UNIT11,询问几点
24,十分,QTY,1,HSK1 UNIT11,询问几点
25,时候,N,1,HSK1 UNIT11,询问几点
25,回家,V,1,HSK1 UNIT11,询问几点
25,电影,N,1,HSK1 UNIT11,询问几点
25,住几天,V,1,HSK1 UNIT11,询问几点
25,周五前,N,1,HSK1 UNIT11,询问几点
25,吃饭,N,1,HSK1 UNIT11,询问几点
25,北京,PN,2,HSK1 UNIT12,询问几点
26,天气,N,1,HSK1 UNIT12,询问天气
26,怎么样,PRON,1,HSK1 UNIT12,询问天气
26,太,ADV,1,HSK1 UNIT12,询问天气
26,太热,ADJ,1,HSK1 UNIT12,询问天气
26,不冷,ADJ,1,HSK1 UNIT12,询问天气
26,下,V,1,HSK1 UNIT12,询问天气
26,下雨,N,1,HSK1 UNIT12,询问天气
27,小姐,N,1,HSK1 UNIT12,询问天气
27,会来,V,1,HSK1 UNIT12,询问天气
27,爱吃,V,1,HSK1 UNIT12,询问天气
27,一些,QTY,1,HSK1 UNIT12,询问天气
27,水果,N,1,HSK1 UNIT12,询问天气
27,身体,N,1,HSK1 UNIT12,询问天气
28,喂,INT,1,HSK1 UNIT13,做什么
28,也在,ADV,1,HSK1 UNIT13,做什么
28,学习,V,1,HSK1 UNIT13,做什么
28,上午,N,1,HSK1 UNIT13,做什么
29,睡觉,V,1,HSK1 UNIT13,做什么
29,电视,N,1,HSK1 UNIT13,做什么
29,喜欢,V,1,HSK1 UNIT13,做什么
29,给她,PRON,1,HSK1 UNIT13,做什么
30,打电话,V,1,HSK1 UNIT13,做什么
30,电话,N,1,HSK1 UNIT13,做什么
30,日月,N,1,HSK1 UNIT13,做什么
30,耳目,N,1,HSK1 UNIT13,做什么
30,打吧,AUX,1,HSK1 UNIT13,做什么
31,一点儿,NUM,1,HSK1 UNIT14,日常对话
31,东西,N,1,HSK1 UNIT14,日常对话
31,苹果,N,1,HSK1 UNIT14,日常对话
32,看见,V,1,HSK1 UNIT14,日常对话
32,先生,N,1,HSK1 UNIT14,日常对话
32,开车,N,1,HSK1 UNIT14,日常对话
32,回来,V,1,HSK1 UNIT14,日常对话
33,分钟,N,1,HSK1 UNIT14,日常对话
33,张先生,PN,1,HSK1 UNIT14,日常对话
33,衣服,N,1,HSK1 UNIT14,日常对话
33,后面,N,1,HSK1 UNIT14,日常对话
33,漂亮,ADJ,1,HSK1 UNIT14,日常对话
34,是啊,AUX,1,HSK1 UNIT14,日常对话
34,不少,ADJ,1,HSK1 UNIT14,日常对话
34,这些,PRON,1,HSK1 UNIT14,日常对话
34,都是,ADV,1,HSK1 UNIT14,日常对话
35,认识,V,1,HSK1 UNIT15,交通工具
35,大学,ADJ,1,HSK1 UNIT15,交通工具
35,饭店,N,1,HSK1 UNIT15,交通工具
35,今年,N,1,HSK1 UNIT15,交通工具
36,出租车,N,1,HSK1 UNIT15,交通工具
36,高兴,ADJ,1,HSK1 UNIT15,交通工具
36,听说,V,1,HSK1 UNIT15,交通工具
36,飞机,N,1,HSK1 UNIT15,交通工具
37,旅游,V,2,HSK2 UNIT1,旅游
37,觉得,V,2,HSK2 UNIT1,旅游
37,为什么,N,2,HSK2 UNIT1,旅游
37,不冷也不热,ADV,2,HSK2 UNIT1,旅游
37,最好,ADV,2,HSK2 UNIT1,旅游
38,运动,V,2,HSK2 UNIT1,旅游
38,踢,V,2,HSK2 UNIT1,旅游
38,足球,N,2,HSK2 UNIT1,旅游
38,踢足球,PHR,2,HSK2 UNIT1,旅游
39,不要,AUX,2,HSK2 UNIT1,旅游
39,新的,ADJ,2,HSK2 UNIT1,旅游
39,它叫,PRON,2,HSK2 UNIT1,旅游
39,花花,PN,2,HSK2 UNIT1,旅游
39,干活,ADJ,2,HSK2 UNIT1,旅游
39,眼睛,N,2,HSK2 UNIT1,旅游
40,生病,V,2,HSK2 UNIT2,起床时间
40,每天,PRON,2,HSK2 UNIT2,起床时间
40,早上,N,2,HSK2 UNIT2,起床时间
40,跑步,V,2,HSK2 UNIT2,起床时间
40,起床,N,2,HSK2 UNIT2,起床时间
41,吃药,N,2,HSK2 UNIT2,起床时间
41,出,V,2,HSK2 UNIT2,起床时间
41,出门,N,2,HSK2 UNIT2,起床时间
41,出院,N,2,HSK2 UNIT2,起床时间
41,多高,ADJ,2,HSK2 UNIT2,起床时间
41,知道,V,2,HSK2 UNIT2,起床时间
41,身体,N,2,HSK2 UNIT2,起床时间
41,一米,QTY,2,HSK2 UNIT2,起床时间
42,休息,V,2,HSK2 UNIT2,起床时间
42,很忙,ADJ,2,HSK2 UNIT2,起床时间
42,时间,N,2,HSK2 UNIT2,起床时间
43,手表,N,2,HSK2 UNIT3,日常用语
43,三千,NUM,2,HSK2 UNIT3,日常用语
43,报纸,N,2,HSK2 UNIT3,日常用语
43,送报纸,V,2,HSK2 UNIT3,日常用语
43,一下,PREP,2,HSK2 UNIT3,日常用语
43,牛奶,N,2,HSK2 UNIT3,日常用语
44,房间,N,2,HSK2 UNIT3,日常用语
44,丈夫,N,2,HSK2 UNIT3,日常用语
44,旁边,N,2,HSK2 UNIT3,日常用语
44,真漂亮,ADV,2,HSK2 UNIT3,日常用语
45,粉色,ADJ,2,HSK2 UNIT3,日常用语
45,颜色,N,2,HSK2 UNIT3,日常用语
45,左边,N,2,HSK2 UNIT3,日常用语
45,红色,ADJ,2,HSK2 UNIT3,日常用语
45,一斤,NUM,2,HSK2 UNIT3,日常用语
45,一两,NUM,2,HSK2 UNIT3,日常用语
46,生日,N,2,HSK2 UNIT4,日常用语
46,快乐,ADJ,2,HSK2 UNIT4,日常用语
46,给你,PREP,2,HSK2 UNIT4,日常用语
47,接电话,V,2,HSK2 UNIT4,日常用语
47,晚上,N,2,HSK2 UNIT4,日常用语
47,问一下,V,2,HSK2 UNIT4,日常用语
47,非常,ADV,2,HSK2 UNIT4,日常用语
47,开始,V,2,HSK2 UNIT4,日常用语
47,已经,ADV,2,HSK2 UNIT4,日常用语
48,多长,ADJ,2,HSK2 UNIT4,日常用语
48,两年,NUM,2,HSK2 UNIT4,日常用语
48,帮我,V,2,HSK2 UNIT4,日常用语
48,介绍,V,2,HSK2 UNIT4,日常用语
49,外面,N,2,HSK2 UNIT5,日常用语
49,准备,V,2,HSK2 UNIT5,日常用语
49,就做,ADV,2,HSK2 UNIT5,日常用语
49,小鱼,N,2,HSK2 UNIT5,日常用语
50,这件,QTY,2,HSK2 UNIT5,日常用语
50,还,ADV,2,HSK2 UNIT5,日常用语
50,可以,ADJ,2,HSK2 UNIT5,日常用语
50,还可以,ADJ,2,HSK2 UNIT5,日常用语
50,不错,ADJ,2,HSK2 UNIT5,日常用语
51,考试,N,2,HSK2 UNIT5,日常用语
51,咖啡,N,2,HSK2 UNIT5,日常用语
51,以后,N,2,HSK2 UNIT5,日常用语
51,意思,N,2,HSK2 UNIT5,日常用语
52,门外,N,2,HSK2 UNIT6,日常用语
52,自行车,N,2,HSK2 UNIT6,日常用语
53,羊肉,N,2,HSK2 UNIT6,日常用语
53,好吃,V,2,HSK2 UNIT6,日常用语
53,面条,N,2,HSK2 UNIT6,日常用语
54,打篮球,V,2,HSK2 UNIT6,日常用语
54,篮球,N,2,HSK2 UNIT6,日常用语
54,因为,N,2,HSK2 UNIT6,日常用语
54,所以,CONJ,2,HSK2 UNIT6,日常用语
55,游泳,V,2,HSK2 UNIT6,日常用语
55,姐姐,N,2,HSK2 UNIT6,日常用语
55,公斤,QTY,2,HSK2 UNIT6,日常用语
55,经常,ADV,2,HSK2 UNIT6,日常用语
56,教室,N,2,HSK2 UNIT7,日常用语
56,路上,N,2,HSK2 UNIT7,日常用语
56,机场,N,2,HSK2 UNIT7,日常用语
57,公司,N,2,HSK2 UNIT7,日常用语
57,太远,ADJ,2,HSK2 UNIT7,日常用语
57,公共,N,2,HSK2 UNIT7,日常用语
57,汽车,N,2,HSK2 UNIT7,日常用语
57,距离,V,2,HSK2 UNIT7,日常用语
58,小时,N,2,HSK2 UNIT7,日常用语
58,太慢,ADJ,2,HSK2 UNIT7,日常用语
58,不快,ADJ,2,HSK2 UNIT7,日常用语
58,过生日,V,2,HSK2 UNIT7,日常用语
58,走路,V,2,HSK2 UNIT7,日常用语
58,到了,V,2,HSK2 UNIT7,日常用语
59,再去,ADV,2,HSK2 UNIT8,日常用语
59,让我,V,2,HSK2 UNIT8,日常用语
59,告诉,V,2,HSK2 UNIT8,日常用语
59,找人,V,2,HSK2 UNIT8,日常用语
59,事情,N,2,HSK2 UNIT8,日常用语
59,等等,V,2,HSK2 UNIT8,日常用语
60,服务员,N,2,HSK2 UNIT8,日常用语
60,白的,ADJ,2,HSK2 UNIT8,日常用语
60,黑的,ADJ,2,HSK2 UNIT8,日常用语
60,红的,ADJ,2,HSK2 UNIT8,日常用语
61,打错了,ADJ,2,HSK2 UNIT9,日常用语
61,从几岁,PREP,2,HSK2 UNIT9,日常用语
61,跳舞,V,2,HSK2 UNIT9,日常用语
61,希望,V,2,HSK2 UNIT9,日常用语
62,第一,NUM,2,HSK2 UNIT9,日常用语
62,问题,N,2,HSK2 UNIT9,日常用语
62,欢迎,V,2,HSK2 UNIT9,日常用语
63,上班,V,2,HSK2 UNIT9,日常用语
63,听懂,V,2,HSK2 UNIT9,日常用语
63,做完,V,2,HSK2 UNIT9,日常用语
63,题目,N,2,HSK2 UNIT9,日常用语
64,汉语课,N,2,HSK2 UNIT10,日常用语
64,帮助,V,2,HSK2 UNIT10,日常用语
64,别看,ADV,2,HSK2 UNIT10,日常用语
64,哥哥,N,2,HSK2 UNIT10,日常用语
64,鸡蛋,N,2,HSK2 UNIT10,日常用语
65,西瓜,N,2,HSK2 UNIT10,日常用语
65,正在,ADV,2,HSK2 UNIT10,日常用语
65,手机,N,2,HSK2 UNIT10,日常用语
65,洗了,V,2,HSK2 UNIT10,日常用语
66,唱歌,V,2,HSK2 UNIT11,日常用语
66,男朋友,N,2,HSK2 UNIT11,日常用语
66,女孩,ADJ,2,HSK2 UNIT11,日常用语
66,孩子,N,2,HSK2 UNIT11,日常用语
67,比我,PREP,2,HSK2 UNIT11,日常用语
67,右边,N,2,HSK2 UNIT11,日常用语
67,便宜,ADJ,2,HSK2 UNIT11,日常用语
68,说,V,2,HSK2 UNIT11,日常用语
68,说话,V,2,HSK2 UNIT11,日常用语
68,可能,AUX,2,HSK2 UNIT11,日常用语
68,去,ADJ,2,HSK2 UNIT11,日常用语
68,去年,N,2,HSK2 UNIT11,日常用语
68,姓王,V,2,HSK2 UNIT11,日常用语
69,睡得早,AUX,2,HSK2 UNIT12,日常用语
69,妻子,N,2,HSK2 UNIT12,日常用语
69,下雪,N,2,HSK2 UNIT12,日常用语
69,零度,NUM,2,HSK2 UNIT12,日常用语
70,穿少,V,2,HSK2 UNIT12,日常用语
70,进房间,V,2,HSK2 UNIT12,日常用语
70,弟弟,N,2,HSK2 UNIT12,日常用语
70,近一点,ADJ,2,HSK2 UNIT12,日常用语
70,零度,N,2,HSK2 UNIT12,日常用语
71,开着,AUX,2,HSK2 UNIT13,日常用语
71,手里,N,2,HSK2 UNIT13,日常用语
71,铅笔,N,2,HSK2 UNIT13,日常用语
71,拿着,V,2,HSK2 UNIT13,日常用语
72,班长,V,2,HSK2 UNIT13,日常用语
72,爱笑,V,2,HSK2 UNIT13,日常用语
72,宾馆,N,2,HSK2 UNIT13,日常用语
73,往前,ADV,2,HSK2 UNIT13,日常用语
73,路口,N,2,HSK2 UNIT13,日常用语
73,一直,ADV,2,HSK2 UNIT13,日常用语
74,有意思,N,2,HSK2 UNIT14,电影
74,但是,CONJ,2,HSK2 UNIT14,电影
74,虽然,CONJ,2,HSK2 UNIT14,电影
74,意思,ADJ,2,HSK2 UNIT14,电影
75,几次,QTY,2,HSK2 UNIT14,电影
75,玩,V,2,HSK2 UNIT14,电影
75,玩儿,V,2,HSK2 UNIT14,电影
75,晴天,ADJ,2,HSK2 UNIT14,电影
75,两百,NUM,2,HSK2 UNIT14,电影
76,日期,N,2,HSK2 UNIT15,新年
76,新年,N,2,HSK2 UNIT15,新年
76,买票,N,2,HSK2 UNIT15,新年
76,火车站,N,2,HSK2 UNIT15,新年
76,火车,N,2,HSK2 UNIT15,新年
77,妹妹,N,2,HSK2 UNIT15,新年
77,阴天,ADJ,2,HSK2 UNIT15,新年
77,大家,PRON,2,HSK2 UNIT15,新年
77,更好,ADV,2,HSK2 UNIT15,新年
78,周末,N,3,HSK3 UNIT1,周末计划
78,打算,V,3,HSK3 UNIT1,周末计划
78,跟你,PREP,3,HSK3 UNIT1,周末计划
79,游戏,N,3,HSK3 UNIT1,周末计划
79,作业,N,3,HSK3 UNIT1,周末计划
80,着急,ADJ,3,HSK3 UNIT1,周末计划
80,复习,V,3,HSK3 UNIT1,周末计划
80,南方,N,3,HSK3 UNIT1,周末计划
80,北方,N,3,HSK3 UNIT1,周末计划
80,南北方,AUX,3,HSK3 UNIT1,周末计划
81,面包,N,3,HSK3 UNIT1,周末计划
81,带着,V,3,HSK3 UNIT1,周末计划
81,地图,N,3,HSK3 UNIT1,周末计划
81,搬家,V,3,HSK3 UNIT1,周末计划
82,腿疼,N,3,HSK3 UNIT2,问候
82,脚疼,ADJ,3,HSK3 UNIT2,问候
82,腿脚,N,3,HSK3 UNIT2,问候
82,大树,N,3,HSK3 UNIT2,问候
82,容易,ADJ,3,HSK3 UNIT2,问候
82,困难,ADJ,3,HSK3 UNIT2,问候
83,秘书,N,3,HSK3 UNIT2,问候
83,经理,N,3,HSK3 UNIT2,问候
83,办公室,N,3,HSK3 UNIT2,问候
83,太太,N,3,HSK3 UNIT2,问候
84,一辆,QTY,3,HSK3 UNIT2,问候
84,上楼,N,3,HSK3 UNIT2,问候
84,一把,QTY,3,HSK3 UNIT2,问候
84,雨伞,N,3,HSK3 UNIT2,问候
84,拿着,V,3,HSK3 UNIT2,问候
85,不胖,ADJ,3,HSK3 UNIT2,问候
85,其实,ADV,3,HSK3 UNIT2,问候
85,不瘦,ADJ,3,HSK3 UNIT2,问候
86,还是,CONJ,3,HSK3 UNIT3,日常用语
86,爬山,V,3,HSK3 UNIT3,日常用语
86,小心,ADJ,3,HSK3 UNIT3,日常用语
87,两条,QTY,3,HSK3 UNIT3,日常用语
87,裤子,N,3,HSK3 UNIT3,日常用语
87,记得,V,3,HSK3 UNIT3,日常用语
88,衬衫,N,3,HSK3 UNIT3,日常用语
88,320元,QTY,3,HSK3 UNIT3,日常用语
88,新鲜,ADJ,3,HSK3 UNIT3,日常用语
89,不甜,ADJ,3,HSK3 UNIT3,日常用语
89,只吃,ADV,3,HSK3 UNIT3,日常用语
89,放着,V,3,HSK3 UNIT3,日常用语
89,饮料,N,3,HSK3 UNIT3,日常用语
90,或者,CONJ,3,HSK3 UNIT3,日常用语
90,舒服,ADJ,3,HSK3 UNIT3,日常用语
90,花茶,N,3,HSK3 UNIT3,日常用语
90,绿茶,ADJ,3,HSK3 UNIT3,日常用语
91,比赛,N,3,HSK3 UNIT4,日常用语
91,年级,N,3,HSK3 UNIT4,日常用语
91,又高,ADV,3,HSK3 UNIT4,日常用语
91,照片,N,3,HSK3 UNIT4,日常用语
92,聪明,ADJ,3,HSK3 UNIT4,日常用语
92,热情,ADJ,3,HSK3 UNIT4,日常用语
92,努力,ADJ,3,HSK3 UNIT4,日常用语
93,总是,ADV,3,HSK3 UNIT4,日常用语
93,回答,V,3,HSK3 UNIT4,日常用语
93,站在,V,3,HSK3 UNIT4,日常用语
94,饿了,ADJ,3,HSK3 UNIT4,日常用语
94,超市,N,3,HSK3 UNIT4,日常用语
94,蛋糕,N,3,HSK3 UNIT4,日常用语
95,年轻,ADJ,3,HSK3 UNIT4,日常用语
95,认真,ADJ,3,HSK3 UNIT4,日常用语
96,发烧,V,3,HSK3 UNIT5,身体季节
96,为你,PREP,3,HSK3 UNIT5,身体季节
96,照顾,V,3,HSK3 UNIT5,身体季节
96,不用,V,3,HSK3 UNIT5,身体季节
97,感冒,V,3,HSK3 UNIT5,身体季节
97,张太太,PN,3,HSK3 UNIT5,身体季节
97,季节,N,3,HSK3 UNIT5,身体季节
97,当然,ADV,3,HSK3 UNIT5,身体季节
98,春天,N,3,HSK3 UNIT5,身体季节
98,青草,N,3,HSK3 UNIT5,身体季节
98,夏天,N,3,HSK3 UNIT5,身体季节
98,裙子,N,3,HSK3 UNIT5,身体季节
99,最近,ADV,3,HSK3 UNIT5,身体季节
99,越来,ADV,3,HSK3 UNIT5,身体季节
100,突然,ADV,3,HSK3 UNIT6,找东西
100,离开,V,3,HSK3 UNIT6,找东西
100,清楚,ADJ,3,HSK3 UNIT6,找东西
100,眼睛,N,3,HSK3 UNIT6,找东西
101,刚才,N,3,HSK3 UNIT6,找东西
101,帮忙,V,3,HSK3 UNIT6,找东西
101,特别,ADV,3,HSK3 UNIT6,找东西
102,讲讲,V,3,HSK3 UNIT6,找东西
102,明白,ADJ,3,HSK3 UNIT6,找东西
102,锻炼,V,3,HSK3 UNIT6,找东西
103,音乐,N,3,HSK3 UNIT6,找东西
103,公园,N,3,HSK3 UNIT6,找东西
103,聊天,V,3,HSK3 UNIT6,找东西
104,睡着,V,3,HSK3 UNIT6,找东西
104,更好,ADV,3,HSK3 UNIT6,找东西
104,聊天,N,3,HSK3 UNIT6,找东西
105,同事,N,3,HSK3 UNIT7,日常用语
105,银行,N,3,HSK3 UNIT7,日常用语
105,多久,ADJ,3,HSK3 UNIT7,日常用语
105,以前,N,3,HSK3 UNIT7,日常用语
106,感兴趣,PHR,3,HSK3 UNIT7,日常用语
106,结婚,V,3,HSK3 UNIT7,日常用语
106,迟到,V,3,HSK3 UNIT7,日常用语
106,欢迎,V,3,HSK3 UNIT7,日常用语
107,七点半,NUM,3,HSK3 UNIT7,日常用语
107,接我,V,3,HSK3 UNIT7,日常用语
107,一刻钟,QTY,3,HSK3 UNIT7,日常用语
107,差了,V,3,HSK3 UNIT8,日常用语
107,又去,ADV,3,HSK3 UNIT8,日常用语
108,满意,V,3,HSK3 UNIT8,日常用语
108,电梯,N,3,HSK3 UNIT8,日常用语
108,二十层,QTY,3,HSK3 UNIT8,日常用语
108,害怕,V,3,HSK3 UNIT8,日常用语
109,熊猫,N,3,HSK3 UNIT8,日常用语
109,见面,N,3,HSK3 UNIT8,日常用语
110,安静,ADJ,3,HSK3 UNIT8,日常用语
110,可乐,N,3,HSK3 UNIT8,日常用语
110,一会儿,N,3,HSK3 UNIT8,日常用语
110,马上,ADV,3,HSK3 UNIT8,日常用语
110,洗手间,N,3,HSK3 UNIT8,日常用语
111,变化,V,3,HSK3 UNIT8,日常用语
111,几乎,ADV,3,HSK3 UNIT8,日常用语
112,健康,ADJ,3,HSK3 UNIT8,日常用语
112,重要,ADJ,3,HSK3 UNIT8,日常用语
113,中文,N,3,HSK3 UNIT9,中文学习
113,一样,ADJ,3,HSK3 UNIT9,中文学习
113,最后,N,3,HSK3 UNIT9,中文学习
113,放心,V,3,HSK3 UNIT9,中文学习
114,一定,ADV,3,HSK3 UNIT9,中文学习
114,担心,V,3,HSK3 UNIT9,中文学习
114,比较,ADV,3,HSK3 UNIT9,中文学习
114,放心,N,3,HSK3 UNIT9,中文学习
114,了解,V,3,HSK3 UNIT9,中文学习
115,参加,V,3,HSK3 UNIT9,中文学习
115,先休息,ADV,3,HSK3 UNIT9,中文学习
115,中间,N,3,HSK3 UNIT9,中文学习
115,影响,N,3,HSK3 UNIT9,中文学习
116,个子,N,3,HSK3 UNIT10,学科
116,矮一点,ADJ,3,HSK3 UNIT10,学科
116,历史,N,3,HSK3 UNIT10,学科
116,体育,N,3,HSK3 UNIT10,学科
116,数学,N,3,HSK3 UNIT10,学科
116,方便,ADJ,3,HSK3 UNIT10,学科
117,骑车,V,3,HSK3 UNIT10,学科
117,太旧,ADJ,3,HSK3 UNIT10,学科
117,换掉,V,3,HSK3 UNIT10,学科
117,自行车,N,3,HSK3 UNIT10,学科
118,地方,N,3,HSK3 UNIT10,学科
118,中介,N,3,HSK3 UNIT10,学科
118,主要,ADJ,3,HSK3 UNIT10,学科
119,环境,N,3,HSK3 UNIT10,学科
120,图书馆,N,3,HSK3 UNIT11,日常用语
120,借书,V,3,HSK3 UNIT11,日常用语
120,词典,N,3,HSK3 UNIT11,日常用语
120,还书,V,3,HSK3 UNIT11,日常用语
121,关灯,N,3,HSK3 UNIT11,日常用语
121,会议,N,3,HSK3 UNIT11,日常用语
121,结束,V,3,HSK3 UNIT11,日常用语
121,忘记,V,3,HSK3 UNIT11,日常用语
122,空调,N,3,HSK3 UNIT11,日常用语
122,地铁,N,3,HSK3 UNIT11,日常用语
122,一双,QTY,3,HSK3 UNIT11,日常用语
123,笔记本,N,3,HSK3 UNIT11,日常用语
123,筷子,N,3,HSK3 UNIT11,日常用语
123,啤酒,N,3,HSK3 UNIT11,日常用语
123,一口,QTY,3,HSK3 UNIT11,日常用语
123,瓶子,N,3,HSK3 UNIT11,日常用语
124,电子,N,3,HSK3 UNIT11,日常用语
